epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,139.155,1.67287,2.96264,2.11858,1.85633,0,0.35918,0.3351,0.26833,0.1186,0.3768,0.33583,0.26759,0.11948,2.04974,3.67014,3.28939,2.0816,0,0.000665116,0.000665116,0.000665116
2,272.895,1.80327,3.06001,2.05032,1.9456,0,0.2681,0.2246,0.15522,0.06644,0.28669,0.19572,0.14101,0.05729,2.1368,5.71872,4.11421,2.19877,0,0.0013208,0.0013208,0.0013208
3,407.539,1.7508,3.00804,1.95185,1.88698,0,0.38081,0.31016,0.26408,0.11093,0.38226,0.29947,0.26079,0.10241,2.14957,3.73771,2.74534,2.19685,0,0.00196548,0.00196548,0.00196548
4,542.554,1.65901,2.8586,1.85954,1.8139,0,0.54384,0.36791,0.39635,0.19648,0.5534,0.36471,0.39089,0.19024,1.82116,3.19538,2.16738,1.85735,0,0.0019505,0.0019505,0.0019505
5,674.79,1.60663,2.75026,1.73422,1.76112,0,0.54099,0.44624,0.47814,0.24556,0.54297,0.44599,0.4794,0.24343,1.75052,2.91367,1.81534,1.70779,0,0.001934,0.001934,0.001934
6,807.466,1.57377,2.7405,1.69113,1.73515,0,0.47868,0.41283,0.41243,0.22243,0.52275,0.39597,0.40599,0.2028,1.73105,3.01044,2.01098,1.75024,0,0.0019175,0.0019175,0.0019175
7,940.923,1.53223,2.6146,1.61556,1.7115,0,0.63411,0.48342,0.53103,0.27973,0.64651,0.5016,0.53582,0.27356,1.66545,2.78697,1.77528,1.70507,0,0.001901,0.001901,0.001901
8,1072.87,1.50122,2.5726,1.54918,1.67745,0,0.56865,0.5369,0.54573,0.30103,0.5822,0.52727,0.53736,0.28181,1.59718,2.74557,1.75016,1.63323,0,0.0018845,0.0018845,0.0018845
9,1208.51,1.46855,2.54374,1.50515,1.65767,0,0.61895,0.51771,0.55347,0.30496,0.61895,0.51771,0.55136,0.29677,1.5806,2.70753,1.85466,1.6262,0,0.001868,0.001868,0.001868
10,1344.96,1.436,2.45031,1.46397,1.63084,0,0.65229,0.57968,0.59253,0.33784,0.6603,0.58396,0.59907,0.32374,1.56954,2.65059,1.56433,1.61385,0,0.0018515,0.0018515,0.0018515
11,1479.09,1.41642,2.44731,1.44291,1.61165,0,0.63095,0.57781,0.5937,0.33792,0.63687,0.58182,0.59601,0.32059,1.56091,2.67025,1.54064,1.61912,0,0.001835,0.001835,0.001835
12,1613.19,1.41558,2.35869,1.38647,1.62809,0,0.599,0.5123,0.52413,0.2795,0.60339,0.5123,0.51978,0.27147,1.60768,2.71913,1.67045,1.66738,0,0.0018185,0.0018185,0.0018185
13,1746.8,1.37873,2.37031,1.3732,1.60637,0,0.66321,0.55187,0.57546,0.31933,0.67194,0.54545,0.57359,0.31084,1.57019,2.6095,1.60774,1.61909,0,0.001802,0.001802,0.001802
14,1881.63,1.38666,2.38579,1.34403,1.6001,0,0.60059,0.57861,0.57938,0.3288,0.64081,0.54973,0.5824,0.31882,1.59307,2.60343,1.57957,1.62999,0,0.0017855,0.0017855,0.0017855
15,2016.3,1.3744,2.29915,1.34488,1.58642,0,0.62276,0.57326,0.60358,0.34621,0.63976,0.57433,0.60352,0.33294,1.5076,2.55309,1.54226,1.5703,0,0.001769,0.001769,0.001769
16,2150.07,1.32912,2.28573,1.31059,1.54606,0,0.60531,0.53797,0.5625,0.33541,0.61871,0.53105,0.55595,0.31151,1.51943,2.71643,1.63455,1.6085,0,0.0017525,0.0017525,0.0017525
17,2287.8,1.32126,2.30174,1.27086,1.54562,0,0.63549,0.63102,0.64915,0.38479,0.65317,0.62995,0.64583,0.35983,1.45482,2.55001,1.38097,1.5218,0,0.001736,0.001736,0.001736
18,2422.35,1.30955,2.24953,1.25238,1.54064,0,0.63166,0.60535,0.62035,0.36779,0.65376,0.58967,0.62615,0.35499,1.47279,2.50634,1.45639,1.54703,0,0.0017195,0.0017195,0.0017195
19,2557.93,1.27602,2.22308,1.23182,1.52291,0,0.67205,0.60929,0.64918,0.3898,0.68197,0.61604,0.64892,0.37219,1.44283,2.43685,1.30962,1.49954,0,0.001703,0.001703,0.001703
20,2691.79,1.2914,2.19309,1.19248,1.51776,0,0.65583,0.61957,0.64882,0.39002,0.66128,0.62013,0.65279,0.37615,1.44728,2.48259,1.36676,1.5,0,0.0016865,0.0016865,0.0016865
21,2825.34,1.29167,2.25687,1.21675,1.54201,0,0.63398,0.60856,0.61584,0.3566,0.64828,0.60214,0.62075,0.33788,1.47338,2.59455,1.39385,1.54507,0,0.00167,0.00167,0.00167
22,2962.29,1.29007,2.23674,1.19666,1.5316,0,0.73993,0.59945,0.66076,0.40721,0.72656,0.59572,0.65266,0.38296,1.43261,2.42964,1.36655,1.50383,0,0.0016535,0.0016535,0.0016535
23,3098.36,1.26523,2.20147,1.17999,1.50347,0,0.69599,0.60107,0.64108,0.3833,0.69105,0.60428,0.63755,0.36563,1.43173,2.48047,1.33506,1.50042,0,0.001637,0.001637,0.001637
24,3233,1.27709,2.1752,1.1781,1.50288,0,0.7009,0.61176,0.6598,0.39854,0.69567,0.62567,0.65774,0.37899,1.45799,2.50791,1.33603,1.51588,0,0.0016205,0.0016205,0.0016205
